Australia;Canberra;61;51885
Austria;Wien;43;51936
Belgium;Brussels;32;48224
Bulgaria;Sofia;359;26034
Canada;Ottawa;1;52144
China;Beijing;86;17206
Croatia;Zagreb;385;29207
Czech Republic;Praha;420;40585
Denmark;Copenhagen;45;51643
Finland;Helsinki;358;49334
France;Paris;33;45454
Germany;Berlin;49;53571
Greece;Athens;30;29045
Hong Kong;;852;58165
Hungary;Budapest;36;35941
India;New Delhi;91;6283
Italy;Roma;39;40470
Japan;Tokyo;81;43194
South Korea;Seoul;82;44292
Netherlands;Amsterdam;31;58255
Norway;Oslo;47;79638
Poland;Warszawa;48;35651
Portugal;Lisboa;351;36246
Russia;Moscow;7;28184
Serbia;Belgrade;381;19767
Slovakia;Bratislava;421;38321
Spain;Madrid;34;38143
Sweden;Stockholm;46;52477
Switzerland;Bern;41;67557
Taiwan;Taipei;886;54019
UK;London;44;46827
Ukraine;Kiev;380;10310
USA;Washington, D.C.;1;63051
